context,sense
"Chrysler and Renault said, ""Given the complex nature of the deal, the need for additional time was to be expected.""",deal%1:04:02::
"Said another Chrysler official who is not part of the talks but who would be told if the deal were in trouble: ""There are no glitches.""",deal%1:04:02::
"The alternative to driving down the dollar any further as a way to deal with the trade deficit, Volcker said recently, is to reduce U.S. consumption, particularly federal spending.",deal%1:04:02::
"LVI and Spectrum, an asbestos abatement concern, expect to close the deal in June, LVI said.",deal%1:04:02::
Glatfelter said it expects to close the deal by May 31.,deal%1:04:02::
A Fourth National spokesman said the deal was for cash but would not disclose the amount.,deal%1:04:02::
"Merrill Lynch does not intend to sell Borg-Warner assets, but it may be forced to do so in financing the deal, said sources familiar with the transaction.",deal%1:04:02::
"In a filing with the Securities and Exchange Commission, Merrill Lynch Capital Partners Inc said it would receive a 30 mln dlr fee from the surviving company for acting as dealer manager of the merger after the Borg-Warner deal is completed.",deal%1:04:02::
"But it said it could also receive a break-up fee of 30 mln dlrs if the deal fails for reasons, which include another party holding more than 40 pct of its stock or tendering for 50 pct.",deal%1:04:02::
"The 30 mln dlr fee is among the highest set down in any tender offer agreement, either in compensation for dealer manager services or for break-up of the deal.",deal%1:04:02::
"Unlike its earlier proposal, Merrill Lynch said Borg-Warner management was asked not to take part in the new deal and it was conditioned upon payment of the fees.",deal%1:04:02::
All in all Merrill Lynch estimated that there would be 130 mln dlrs in fees and expenses connected with the deal.,deal%1:04:02::
"To finance the deal, Merrill Lynch said it expects to borrow 3.5 billion dlrs from a group of banks and sell 100 mln dlrs of common stock of the new company, sell 100 mln dlrs of non-voting preferred stock of the new company to Merrill Lynch and Co, sell up to 650 mln dlrs of subordinated notes to Merrill Lynch and Co and sell to the public 204 mln dlrs of subordinated discount debentures.",deal%1:04:02::
"The deal is scheduled to close by the end of June, the company said.",deal%1:04:02::
Royal said the shares issued in the deal will be subject to registration rights.,deal%1:04:02::
"When the deal is completed sometime in August, the company's revenues will exceed 450 mln dlrs, pushing it past  Microsoft Corp &lt;MFST> as the world's largest independent software vendor.",deal%1:04:02::
He speculated that someone in the same home improvement business might be able to offer a deal for stock that would top both the buyout proposal and Bilzerian's plan.,deal%1:04:02::
