context,sense
"If the concept of autonomous agents were something like a usefulor more, a properdefinition of life itself, then autonomous agents span the gap from the merely physical to that new realm of the merely physical where &quot;purpose&quot; is ascribed by all of us to one another.",life%1:19:00::
The emergence of ethics in the evolution of life on this planet is a fascinating issue. ,life%1:19:00::
"If we synthesize autonomous agents in the next decades and they coevolve under our rapt gaze over months or years into a modestly complex ecosystem brimming with novel life forms, they too will know how to make a living in their mutually created world plus the boundary conditions we more or less intelligently impose on them.",life%1:19:00::
"The stories applaud the upcoming flurry of Mars expeditions (eight launches in eight years), with Newsweek concluding that they will undoubtedly determine whether Mars ever hosted life.",life%1:19:00::
"New satellite pictures substantially increase the probability that life exists on Europa , a moon of Jupiter.",life%1:19:00::
"After Messinger gave a major address a few weeks back, the Daily News sardonically endorsed her as the &quot;Mayor of Mars,&quot; observing with a characteristically light touch that her speech had furnished evidence of life on &quot;the Red Planet.&quot;",life%1:19:00::
"Perhaps we surface-dwelling life forms are the exceptions--bizarre mutations of the normally deep-dwelling archeabacteria that populate the interiors of planets all over the galaxy""",life%1:19:00::
"Dawkins himself notes that after decades of searching, scientists have found no conclusive evidence that life exists elsewhere in the universe.",life%1:19:00::
"Moreover, as far as we know, life emerged here on earth only once.",life%1:19:00::
"But life has managed, nonetheless, not only to endure but also to produce spiders, newts, and congressmen.",life%1:19:00::
"Patents can even be held on the genetic blueprints of various forms of life""",life%1:19:00::
"She's been searching for signs of extraterrestrial life ever since she was a little girl""",life%1:19:00::
"We support a human life amendment to the Constitution and we endorse legislation to make clear that the Fourteenth Amendment's protections apply to unborn children.&quot""",life%1:26:00::
"National Rifle Association President Charlton Heston wisely declared this week that the presence of an armed guard might have saved the lives of Columbine High School students""",life%1:26:00::
"New evidence supports the theory that Mars once resembled Earth . A magnetic pattern on Mars indicates that it had dynamic, internal heat similar to Earth's, increasing the likelihood that Mars had a warm atmosphere, water, and elementary life.",life%1:19:00::
"In my day, one hassled student ended his life by hanging himself from a basketball rim.",life%1:26:00::
"Down there, more than in other places, electricity is power, the fine bright line between life and no life, which is the same thing as between life and death",life%1:26:00::
"Crawl for your life!""",life%1:26:00::
"By talking about &quot;the life issue,&quot; Forbes signals to pro-lifers that he's one of them, while concealing from pro-choicers that he's no longer one of them",life%1:26:00::
"We also don't know how life originates and to what extent it evolves in an orderly pattern""",life%1:19:00::
"When Franjo Tudjman dies, as he is expected to any day, his Croatian followers will surely write him an epitaph full of the grandiosity Tudjman adored so much in life",life%1:26:00::
"Today's Papers can't help but notice that this story includes far more detail about methods of extinguishing life than any of the stories about that anti-abortion web site""",life%1:19:00::
"In Wescott's view, the age of miniaturization has given epigrams a new lease on life",life%1:26:00::
"Willie Shoemaker devoted his life to resurfacing""",life%1:26:00::
"I recently read Life After Death by the Canadian writer Tom Harpur""",life%1:26:00::
"[For we fight not for glory, riches, or honors, but solely for liberty, which no good man loses except with his life",life%1:26:00::
"And when the Thai-language wrestles with new words for alien imports like ice hard water or parachute umbrella for supporting life, some might be amused at how downright literal Thai can be or impressed at how admirably sensible it so often is.",life%1:19:00::
"And when the Thai-language wrestles with new words for alien imports like ice hard water or parachute umbrella for supporting life, some might be amused at how downright literal Thai can be or impressed at how admirably sensible it so often is",life%1:26:00::
