context_x,context_y
Because turning welfare recipients into tax payers just makes sense.,sense%1:09:04::
"We give them a chance to realize their own potential by giving them a place where they can develop a sense of competence, of usefulness, a sense of belonging and of influence.",sense%1:09:05::
"Suddenly it stopped, and I had the sense I was very, very high up.",sense%1:09:05::
That makes sense.,sense%1:09:04::
"Nice to see you haven’t lost your wonderful sense of humor,” she said, “but stop trying to change the subject.",sense%1:09:05::
I remember the overpowering sense of loneliness and sadness and grief.,sense%1:09:05::
"But then I think, it does make sense because she’d never like that,” he was really picking up the pace now, “She’s not the type that goes around fluanting what she’s got and taking advantage, which makes you even perfecter.",sense%1:09:04::
"Yeah, I remember Sambito from the Astros (when the Braves were in the old NL West because it made sense to have a team 3,000 miles from most of their division rivals).",sense%1:09:04::
"He certainly does not &quot;attribute it to a speech where it was not uttered&quot; and, as noted above, doing so twice would make no sense whatsoever if Moore was the mastermind deceiver that his critics claim he is.",sense%1:09:04::
This makes no sense.,sense%1:09:04::
By doing so they hope to inculcate among the Mayan peoples a renewed sense of pride which will in turn reverse the dogma of Spanish superiority.,sense%1:09:05::
"In anticipation, Jews in Palestine began laying the groundwork for a greater sense of national identity.",sense%1:09:05::
"By accepting my personal invitation, you’ll provide yourself and every member of your family with a fulfilling sense of proprietorship, and a steady flow of priceless enjoyment.",sense%1:09:05::
"But he was not without a sense of humor, and the situation as it now was forced upon him struck him as amusing.",sense%1:09:05::
The contrast struck Mr. Thorndike’s sense of humor full in the centre.,sense%1:09:05::
"As the two truants rolled up the avenue the spring sunshine warmed them, the sense of duties neglected added zest to their holiday, and young Mr. Andrews laughed aloud.",sense%1:09:05::
"This creates both a smooth transition to the second theme and a strong sense that a new section is beginning, a combination that is generally rather difficult to forge.",sense%1:09:05::
"The 14-hour flight took me from Monday morning in Sydney to Monday morning, again, in L.A. Crossing the date line messed up my sense of time enough without the added bonus of thinking I should be heading to bed just as the sun began to climb into the California sky.",sense%1:09:05::
"In the paper, &quot;self-control&quot; is used to mean a sense of willpower.",sense%1:09:05::
"Not only are we unable to prestate the configuration space of a biosphere and predict what will unfold, but we also cannot even translatein the sense of necessary and sucient conditionsfrom legal talk to normal intentional talk, let alone from legal talk of Henderson found guilty of murder to a physical talk about sound-wave forms monitored and masses at space-time lines as a description.",sense%1:09:05::
"It seems hard to ascribe purpose, in the sense of acting on its own behalf, to a stone or a chair and easy with respect to an alga.",sense%1:09:05::
"Now, five chapters later, it is hardly an independent deduction that autonomous agents are the proposed organization of matter, energy, and organization to which purposes can be ascribed in the sense of being able to act on their own behalf.",sense%1:09:05::
"In the absence of external guides, people selforganise to learn and make sense of their environments.",sense%1:09:05::
Do not try to make sense out of anything of this if you're not thinking like a...,sense%1:09:04::
There are many reasons why the new labeling requirement makes sense from all these perspectives.,sense%1:09:04::
"A new sense of identity enveloped Greek peoples throughout the Aegean, thus commencing a movement to expand Greece and unify the disparate Orthodox populations.",sense%1:09:05::
"From the mid-1940s to the mid-1960s, Las Vegas nurtured a growing sense that it was the “Entertainment Capital of the World. ”",sense%1:09:05::
"Now, there were two things here that made ridiculously small amounts of sense.",sense%1:09:04::
"The more I thought about it, the less sense the ship made.",sense%1:09:04::
"Times like that, running on less sleep than I should, alone because everyone else had had the sense to retire for the night, I had a tendency to get all meditative about the universe and my place in it.",sense%1:09:04::
Beijing’s announced policy of maintaining Hong Kong’s prosperity and stability makes sense.,sense%1:09:04::
