context,sense
"If it was simply a matter of selecting a text that gives two contradicting scientific theories equal time, that would be an entirely different matter, but it's not.",time%1:28:05::
"With everybody's indulgence, I would expect to go to approximately o'clock, no later than o'clock tomorrow to make up for the time that we lose during the morning session.",time%1:28:05::
"Now, I don't have time to preside over a deposition at this late date.",time%1:28:05::
"And it will be abbreviated because of the time constraints on me, but we'll issue it forthwith, and it will indicate that you're going to -- they're going to sit for depositions under those circumstances.",time%1:28:05::
"I was actually nine months pregnant and due any day, so I spent quite a deal of time in the restroom.",time%1:28:05::
And so at the time when Max was speaking -- I believe that there were people who spoke in between she and Max Pell.,time%1:28:05::
"And so I pretty well made sure, at the beginning of that meeting, which went on for quite a long time, that I wouldn't miss anything, so I took care of my bathroom needs beforehand.",time%1:28:05::
"Now, during the time that you were at the meeting, did you hear any discussion among the board members about the reasons for the proposed change to the biology curriculum?",time%1:28:05::
"And is it your understanding that because Dover is a standards-driven district, that they're going to focus their class time on preparing students to achieve proficiency on those standard-based assessments?",time%1:28:05::
"They'd scouted twenty-seven gates so far, and none had turned up anything worth the Insurrection's time.",time%1:28:05::
"He spends his time drunk on excellent local wines, fantasizing a very fulfilling populist Catharism.",time%1:28:05::
"&quot;Thank the Goddess of Compassion Quan Yin, she didn't have time to develop a pesky &quot;self,&quot; comments Merle's fading bark.",time%1:28:05::
"He doesn't have much time today, as his friend Mary (a model for MonaLisa of the Desert) is coming down from the central coast and Walt, another friend, may join them for dinner. &quot;",time%1:28:05::
"A dog is said to have herded a little boy who was running toward the water back to his family in the nick of time, exhibiting the shepherd instinct in his breeding.",time%1:28:05::
"As we children of the baby boom grew older we had more free time than any previous generation on earth, free time to undergo the tidal waves of adolescent hormones and to read Catcher in the Rye and even On the Road in study halls, although we also memorized Pledges of Allegiance, Declarations of Independence and believed them.",time%1:28:05::
"As we children of the baby boom grew older we had more free time than any previous generation on earth, free time to undergo the tidal waves of adolescent hormones and to read Catcher in the Rye and even On the Road in study halls, although we also memorized Pledges of Allegiance, Declarations of Independence and believed them.",time%1:28:05::
These Horites are first mentioned at the time of Abraham in connection with the subjugation of the land by Chedorlaomer.,time%1:28:05::
I have spent a lot of time thinking and writing about the quality of urban life for families and not just for the tourists most mayors think are the key to urban regeneration.,time%1:28:05::
"Even granting that Chatterbox had one or two other minor tasks to complete today, it does seem that seven hours is more time than any reasonable person should have to spend reading about the genesis of a single-topic edition of a Sunday magazine.",time%1:28:05::
"Or so the story says, quoting five experts in support along the way, before swerving abruptly to a &quot;to be sure&quot; 11th paragraph that says Y2K preparedness &quot;posed an enormous distraction, soaking up time and money that might have been plowed into projects with a more immediate payoff,&quot; and that &quot;much of the investment went to inoculate older technology against the computer bug rather than to embrace the newest processes that could revolutionize the way work is done.&quot;",time%1:28:05::
1) The White House has already contacted the networks to reserve television time (on either Aug. 16 or Aug. 17) for a Clinton apology.,time%1:28:05::
"--comprising guys who have gained 50 pounds since high school, guys who know their way around a search engine but, what with the wife and the child support and the gas bills and all those $7 bottles of wine, lack the loose dollars and idle time that can b",time%1:28:05::
"Paradoxically, the timesaving is more real the smaller the amount of time to be saved.",time%1:28:05::
"Aside from the hours spent documenting such feats, and recovering from them, Burden's art didn't occupy much of his time.",time%1:28:05::
Would it reach us in time to fend off the snow?,time%1:28:05::
"Elway said he is retiring because his knee is damaged, he has accomplished what he sought in football, and he wants to spend more time with his family.",time%1:28:05::
"); Macedonia (&quot;It has suffered from loss of trade with Serbia, and most of the refugees are unlikely to leave for some time.&quot;",time%1:28:05::
"On the third pass, recalling Proust's admonition to one of his correspondents that if he'd only had time he would have written a shorter letter, I managed to cut another 200 pages.",time%1:28:05::
"The IRS didn't dispute the charges, but attributed the problems to outdated computers and personnel turnover, problems it's addressing, says the paper, but which take time.",time%1:28:05::
"Or to give equal time, as it were:",time%1:28:05::
#NAME?,time%1:28:05::
"In short, I am not what is known in the trade as “copy proud”:my feelings about my own writing range from occasional smugness with a job well done to abject frustration and misery at my inability to express myself articulated in writing (given the amount of time and resources available).",time%1:28:05::
"I was turned down, but not entirely discouraged, and decided to return to the fray several years later, when I had more time.",time%1:28:05::
We also hope you'll take time out from your spring planting to make a gift in honor of Joe's garden.,time%1:28:05::
"Just a moment of your time, if you can, to talk about a ten dollar bill.",time%1:28:05::
It takes a long time for him to gain the self-confidence to work elsewhere in the community.,time%1:28:05::
He has no time to waste.,time%1:28:05::
The people who can benefit most directly from your generosity have no time to waste.,time%1:28:05::
We don't waste time as we are helping the community.,time%1:28:05::
"It took some time and hard work, but with the help of Goodwill, Jerry was able to work out a payment plan with the prosecutor's office, find housing and conduct a more thorough job search.",time%1:28:05::
"A time for a youngster to enjoy the fun and benefits of residential camp living, dedicated staff and instruction, and a chance to make special friends.",time%1:28:05::
The Grill will feature enough activities that you and your kids will have a tough time deciding what to do.,time%1:28:05::
"With this in mind, I am asking each one of you to make a personal contribution of $50, $100 or even $1,000 to show that you believe in the work that we do and are willing to support it with both your time and your finances.",time%1:28:05::
We believe there is no more appropriate time to have a coordinated and collaborative effort to financially support the services MCCOY offers to the community as a whole.,time%1:28:05::
"Thank you very much for your time, attention and consideration.",time%1:28:05::
"I am a board member of SEND and would like to spend a few moments of your time in the near future to tell you, personally, about our programs and how you can help.",time%1:28:05::
"In addition to running DBA, Miyares finds time to be liaison for blinded veterans at the San Diego VA Medical Center, an inventor, lecturer, member and co-founder of the Mira Mesa/Scripps Ranch Chamber of Commerce, author, business columnist for the &quot;San Diego Union-Tribune newspaper, co-host of &quot;San Diego Inventors and Inventions&quot; on KFMB-TV, and many other business, military, civic, and athletic organization activities.",time%1:28:05::
"Even if we have not engaged in formal extracurricular activities, however, many more of us have helped each other-by reviewing homework problems in one of the student lounges, by participating in group projects in classes--meeting sometimes after class hours, by taking time to listen to a classmate's personal problems, or just by socializing between classes.",time%1:28:05::
Among the many traditions of the holiday season is taking time to reflect upon the things in our lives that add meaning.,time%1:28:05::
